Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
SF,Finance,Investment Bankers/Brokers/Service,18.42,0.94,2.001,N/A,1.38,1.27,N/A,53.62M,2.03B,28.10 - 39.84,"
</"
SFB,,,N/A,N/A,N/A,6.14,N/A,N/A,N/A,N/A,N/A,25.36 - 27.73,"
</"
SFD,Consumer Non-Durables,Meat/Poultry/Fish,15.82,1.02,1.473,N/A,1.05,0.25,872.90M,138.72M,3.28B,17.55 - 24.23,"
</"
SFE,Finance,Finance/Investors Services,N/A,N/A,N/A,N/A,0.99,N/A,N/A,20.95M,323.70M,13.15 - 18.20,"
</"
SFG,Finance,Accident &Health Insurance,12.22,1.22,3.183,2.39,0.79,0.59,359.20M,44.23M,1.73B,28.74 - 41.99,"
</"
SFI,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,0.61,N/A,N/A,83.65M,820.60M,5.37 - 9.74,"
</"
SFI-D,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.05 - 24.86,"
</"
SFI-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.22 - 24.17,"
</"
SFI-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.88 - 24.04,"
</"
SFI-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.93 - 23.66,"
</"
SFI-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.05 - 24.75,"
</"
SFL,Transportation,Marine Transportation,8.35,N/A,2.019,11.03,1.47,4.82,178.80M,79.23M,1.34B,11.44 - 17.94,"
</"
SFN,Technology,Professional Services,12.82,N/A,2.001,N/A,0.96,0.89,N/A,53.62M,1.38B,5.50 - 15.39,"
</"
SFUN,Technology,EDP Services,16.4,0.52,1.574,3.87,17.64,5.15,177.90M,79.06M,2.10B,11.61 - 29.16,"
</"
SFY,Energy,Oil & Gas Production,21.71,1.16,0.694,N/A,0.63,1.17,344.80M,42.92M,648.10M,13.97 - 35.60,"
</"
SGF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,5.5,N/A,N/A,N/A,N/A,N/A,11.45 - 14.37,"
</"
SGK,Consumer Durables,Containers/Packaging,1284,1.75,0.01,2.49,1.24,0.72,41.00M,26.07M,338.60M,10.51 - 14.60,"
</"
SGL,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,7.23,N/A,N/A,N/A,N/A,N/A,10.10 - 11.48,"
</"
SGU,Consumer Services,Other Specialty Stores,11.22,N/A,0.417,6.65,1.1,0.19,62.90M,60.31M,288.30M,3.65 - 4.74,"
</"
SGY,Energy,Oil & Gas Production,7.37,N/A,3.054,N/A,1.32,1.2,628.70M,48.39M,1.09B,19.27 - 35.47,"
</"
SGZ,Finance,Property-Casualty Insurers,26.77,N/A,0.949,7.39,1.24,0.83,119.80M,55.00M,1.40B,25.00 - 26.06,"
</"
SHAW,Capital Goods,Metal Fabrications,14.53,1.27,3.256,N/A,3.02,0.54,248.50M,66.66M,3.16B,23.95 - 47.47,"
</"
SHG,Finance,Major Banks,8.65,0.65,4.335,N/A,0.76,2.35,N/A,474.21M,18.04B,30.61 - 84.48,"
</"
SHI,Basic Industries,Major Chemicals,N/A,N/A,N/A,2.15,1.01,0.19,N/A,71.54M,2.71B,24.64 - 41.43,"
</"
SHO,Consumer Services,Hotels/Resorts,98.89,1.55,0.117,N/A,1.34,1.71,241.30M,136.73M,1.61B,8.70 - 12.08,"
</"
SHO-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.22 - 25.90,"
</"
SHO-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.01 - 26.75,"
</"
SHP,Consumer Durables,Major Pharmaceuticals,49.04,1.33,0.178,N/A,1.16,1.3,17.10M,18.58M,161.80M,5.81 - 9.58,"
</"
SHS,Technology,Industrial Machinery/Components,13.76,N/A,3.9,2.61,4.32,1.33,401.20M,48.46M,2.64B,33.16 - 56.10,"
</"
SHW,Consumer Services,RETAIL: Building Materials,29.44,1.44,5.508,0.96,9.25,1.75,1.14B,101.53M,16.63B,96.96 - 167.24,"
</"
SI,Energy,Consumer Electronics/Appliances,17.31,0.41,6.327,3.55,2.37,0.91,12.49B,842.96M,92.41B,77.88 - 112.73,"
</"
SID,Capital Goods,Steel/Iron Ore,201.11,0.69,0.027,9.8,2.01,0.98,2.19B,1.46B,8.08B,4.43 - 10.99,"
</"
SIG,Consumer Services,Consumer Specialties,15.29,1.16,4.094,0.77,2.34,1.32,504.50M,80.50M,5.11B,40.74 - 63.23,"
</"
SIR,Consumer Services,Trucking,N/A,5.36,N/A,5.28,N/A,N/A,N/A,N/A,N/A,0.09 - 4.48,"
</"
SIX,Consumer Services,Services-Misc. Amusement & Recreation,32.08,1.87,1.962,4.29,3.83,3.15,348.60M,53.32M,3.35B,43.13 - 64.95,"
</"
SJI,Public Utilities,Oil/Gas Transmission,16.01,2.92,3.391,3.04,2.4,2.36,180.80M,30.78M,1.67B,45.81 - 56.15,"
</"
SJM,Consumer Non-Durables,Packaged Foods,20.52,2.02,4.32,2.26,1.87,1.65,1.17B,108.46M,9.74B,70.50 - 90.31,"
</"
SJR,Consumer Services,Television Services,13.75,3.89,1.703,4.14,2.84,2.03,2.09B,445.50M,10.49B,18.25 - 24.18,"
</"
SJT,Energy,Oil & Gas Production,14.78,N/A,1.042,3.84,58.56,18.97,N/A,46.61M,764.80M,12.06 - 20.54,"
</"
SJW,Public Utilities,Water Supply,22.23,1.81,1.22,1.31,1.86,1.93,91.90M,18.65M,514.30M,22.56 - 27.60,"
</"
SKH,Health Care,Hospital/Nursing Management,8.48,0.63,0.627,N/A,2.21,0.24,102.80M,38.55M,209.70M,4.97 - 8.41,"
</"
SKM,Public Utilities,Telecommunications Equipment,13.99,1.21,1.2113,N/A,1.02,0.73,3.56B,627.89M,10.76B,10.85 - 17.99,"
</"
SKS,Consumer Services,Department/Specialty Retail Stores,22.11,1.65,0.489,N/A,1.35,0.52,274.70M,147.53M,1.58B,9.24 - 12.14,"
</"
SKT,Consumer Services,Real Estate Investment Trusts,68.38,2.55,0.518,2.37,6.83,9.46,185.50M,92.80M,3.30B,28.61 - 35.61,"
</"
SKX,Consumer Non-Durables,Shoe Manufacturing,N/A,N/A,N/A,N/A,1.08,0.66,"1,000.00K",50.49M,951.20M,11.97 - 22.37,"
</"
SKY,Basic Industries,Homebuilding,N/A,N/A,N/A,N/A,0.79,0.22,N/A,8.40M,40.30M,3.60 - 8.34,"
</"
SLA,Finance,Closed-End Fund - Debt,8.59,N/A,1.297,7.24,0.93,10.91,N/A,10.66M,117.30M,9.96 - 11.47,"
</"
SLB,Energy,Oilfield Services/Equipment,19.05,0.92,4.098,1.41,2.97,2.45,11.12B,1.33B,105.80B,59.12 - 80.78,"
</"
SLCA,,,15.46,0.24,1.298,2.49,4.45,2.61,122.60M,52.84M,1.06B,9.02 - 22.14,"
</"
SLF,Finance,Life Insurance,28.37,1.17,1.027,4.93,1.22,0.85,N/A,596.89M,17.45B,18.94 - 29.66,"
</"
SLG,Consumer Services,Real Estate Investment Trusts,51.07,3.22,1.574,1.34,1.22,5,826.30M,90.36M,7.30B,70.34 - 85.74,"
</"
SLG-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.00 - 25.95,"
</"
SLG-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SLH,Technology,"Computer Software: Programming, Data Processing",35.43,1.98,1.547,0.82,5.26,4.79,336.00M,68.82M,3.86B,36.81 - 56.75,"
</"
SLRA,,,N/A,N/A,N/A,1.72,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SLT,Capital Goods,Metal Fabrications,9.48,N/A,0.896,1.79,0.85,0.87,1.90B,841.38M,7.22B,6.42 - 10.84,"
</"
SLW,Basic Industries,Precious Metals,22.34,0.31,1.56,1,4.15,16.37,627.80M,354.29M,12.59B,22.94 - 41.30,"
</"
SM,Energy,Oil & Gas Production,N/A,3.81,N/A,0.17,2.61,2.56,838.10M,66.08M,3.85B,39.44 - 84.40,"
</"
SMA,Health Care,Industrial Specialties,132.22,1.53,0.081,N/A,1.27,1.01,50.40M,36.79M,403.90M,6.41 - 11.13,"
</"
SMF,Consumer Services,Financial Services,N/A,N/A,N/A,6.43,N/A,N/A,N/A,N/A,N/A,22.64 - 27.50,"
</"
SMFG,Finance,Commercial Banks,12.03,N/A,0.6724,N/A,0.8,1.83,N/A,6.77B,54.63B,5.55 - 8.19,"
</"
SMG,Basic Industries,Agricultural Chemicals,25.54,1.56,1.712,2.86,4.45,0.95,312.70M,61.35M,2.71B,35.49 - 55.95,"
</"
SMI,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.87,1.29,466.00M,639.81M,1.98B,1.47 - 3.24,"
</"
SMLP,,,39.91,N/A,0.548,N/A,1.6,6.83,85.80M,48.83M,1.07B,0.00 - 0.00,"
</"
SMM,,,N/A,N/A,N/A,3.08,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SMP,Energy,Industrial Machinery/Components,8.27,0.98,2.808,1.55,1.75,0.57,81.10M,22.82M,535.70M,11.94 - 25.91,"
</"
SMS,Consumer Durables,Industrial Specialties,N/A,N/A,N/A,2.19,0.81,0.21,194.10M,204.82M,2.04B,8.27 - 16.70,"
</"
SN,,,N/A,6.17,N/A,N/A,1.82,21.54,N/A,33.53M,696.80M,16.37 - 25.37,"
</"
SNA,Capital Goods,Industrial Machinery/Components,16.08,1.57,5.04,1.73,2.71,1.53,586.30M,58.24M,4.78B,56.88 - 82.56,"
</"
SNE,Consumer Non-Durables,Consumer Electronics/Appliances,N/A,N/A,N/A,N/A,0.63,0.18,3.39B,1.00B,15.18B,9.57 - 22.35,"
</"
SNH,Consumer Services,Real Estate Investment Trusts,30.65,4.18,0.786,6.39,1.59,7.24,403.20M,176.55M,4.33B,19.83 - 24.70,"
</"
SNHN,,,31.27,N/A,0.786,3.04,1.62,7.39,403.20M,176.57M,4.37B,0.00 - 0.00,"
</"
SNI,Consumer Services,Television Services,18.8,1.33,3.286,0.78,5.67,4.1,1.04B,149.85M,9.31B,41.91 - 66.33,"
</"
SNN,Health Care,Industrial Specialties,14.27,2.64,4.04,1.8,2.83,2.48,1.19B,179.00M,10.28B,44.84 - 58.24,"
</"
SNP,Energy,Integrated oil Companies,12.39,N/A,9.8,3.91,1.34,0.25,25.79B,868.92M,105.40B,82.51 - 125.36,"
</"
SNV,Finance,Major Banks,3.04,2.65,0.85,1.55,0.78,2.39,N/A,786.59M,2.05B,1.67 - 2.82,"
</"
SNV-T,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.55 - 24.40,"
</"
SNX,Technology,EDP Services,9.01,0.89,3.99,N/A,1,0.13,279.20M,36.72M,1.34B,30.70 - 44.25,"
</"
SNY,Consumer Durables,Major Pharmaceuticals,16.64,3.05,2.925,3.61,1.76,2.74,18.69B,2.64B,129.90B,33.03 - 49.56,"
</"
SO,Public Utilities,Electric Utilities: Central,17.5,3.3,2.527,4.43,2.07,2.34,6.34B,874.10M,38.47B,41.75 - 48.59,"
</"
SOL,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.4,0.21,N/A,86.37M,173.60M,1.08 - 3.38,"
</"
SON,Consumer Durables,Containers/Packaging,17.41,2.45,1.78,3.84,2.05,0.66,576.40M,100.73M,3.16B,28.61 - 34.83,"
</"
SOR,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,6.19,1.03,66.38,N/A,8.65M,492.80M,45.55 - 57.60,"
</"
SOV-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.20 - 26.20,"
</"
SPA,Technology,Electrical Products,17.47,N/A,0.871,N/A,1.86,0.71,15.30M,10.23M,157.00M,8.05 - 15.73,"
</"
SPB,Energy,Industrial Machinery/Components,55.65,1.55,0.91,1.97,2.64,0.8,447.90M,51.51M,2.69B,28.22 - 51.22,"
</"
SPE,,,198.52,N/A,0.081,5.91,0.95,31.86,N/A,6.81M,112.30M,14.21 - 16.38,"
</"
SPE.P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SPF,Capital Goods,Homebuilding,51.88,2.77,0.16,N/A,2.35,1.56,67.00M,211.98M,1.68B,3.98 - 8.68,"
</"
SPG,Consumer Services,Real Estate Investment Trusts,32.41,3.1,4.942,2.56,8.55,10.53,3.37B,309.35M,50.10B,134.34 - 164.17,"
</"
SPG-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.16 - 79.95,"
</"
SPH,Consumer Services,Other Specialty Stores,859.9,6.26,0.048,8.32,2.16,2.21,111.10M,57.01M,2.31B,34.58 - 45.61,"
</"
SPLP,,,5.58,N/A,2.19,N/A,0.69,0.48,103.30M,30.78M,376.70M,0.00 - 0.00,"
</"
SPN,Energy,Oilfield Services/Equipment,10.62,0.52,2.351,N/A,0.95,0.97,1.14B,157.71M,4.04B,17.54 - 31.88,"
</"
SPP,Consumer Durables,Containers/Packaging,17.05,N/A,0.2,N/A,1.16,0.28,814.00M,520.87M,1.80B,2.57 - 3.89,"
</"
SPR,Capital Goods,Military/Government/Technical,65.6,4.39,0.243,N/A,1.17,0.44,92.10M,143.68M,2.33B,13.96 - 26.00,"
</"
SPW,Technology,Industrial Machinery/Components,20.94,1.54,3.564,1.34,1.65,0.77,433.80M,50.81M,3.81B,56.31 - 79.42,"
</"
SQM,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),22.45,1.23,2.532,2.21,6.46,6.32,1.12B,263.19M,14.86B,50.41 - 65.31,"
</"
SQNS,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.19,2.52,N/A,34.69M,79.09M,1.30 - 3.56,"
</"
SR,Consumer Services,Office Equipment/Supplies/Services,N/A,N/A,N/A,7.58,N/A,0.03,17.20M,29.21M,18.99M,0.50 - 2.47,"
</"
SRC,,,N/A,N/A,N/A,1.71,1.28,5.87,240.00M,84.85M,1.67B,0.00 - 0.00,"
</"
SRE,Public Utilities,Natural Gas Distribution,20.84,2.58,3.601,3.2,1.8,1.89,2.76B,241.69M,18.30B,57.10 - 75.40,"
</"
SRF,,,N/A,N/A,N/A,6.91,N/A,N/A,N/A,N/A,N/A,18.56 - 26.00,"
</"
SRI,Capital Goods,Auto Parts:O.E.M.,4.02,2.46,1.556,N/A,1.19,0.19,55.70M,27.92M,178.40M,4.45 - 10.89,"
</"
SRT,Technology,Professional Services,N/A,N/A,N/A,N/A,1.01,0.34,1.10M,15.25M,66.20M,1.77 - 4.41,"
</"
SRV,Funeral Services,,N/A,N/A,N/A,10.82,N/A,N/A,N/A,N/A,N/A,6.95 - 10.65,"
</"
SRZ,Health Care,Hospital/Nursing Management,24.91,1.75,0.58,N/A,6.1,1.28,60.20M,57.71M,835.68M,5.38 - 14.53,"
</"
SSD,Capital Goods,Industrial Machinery/Components,38.28,2.56,0.847,1.93,1.99,2.44,97.10M,48.32M,1.58B,23.22 - 35.06,"
</"
SSI,Consumer Services,Clothing/Shoe/Accessory Stores,20.59,0.99,1.11,1.66,1.7,0.46,122.60M,31.91M,732.60M,13.29 - 27.42,"
</"
SSL,Energy,Oil & Gas Production,9.77,4.77,4.425,5.07,1.94,1.43,5.41B,638.84M,27.98B,39.72 - 54.42,"
</"
SSP,Consumer Services,Newspapers/Magazines,32.23,N/A,0.341,N/A,1.15,0.72,101.00M,54.96M,621.00M,8.19 - 11.46,"
</"
SSS,Consumer Services,Real Estate Investment Trusts,36.3,2.53,1.797,2.81,2.64,8.69,123.60M,29.48M,1.96B,46.14 - 65.50,"
</"
SSTK,,,31.62,1.79,0.798,N/A,N/A,5.45,27.40M,33.51M,851.90M,0.00 - 0.00,"
</"
SSW,Transportation,Marine Transportation,57.31,2.26,0.327,5.01,1.07,1.84,480.40M,62.94M,1.24B,14.20 - 19.98,"
</"
SSW-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.50 - 29.02,"
</"
SSW-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ST,Capital Goods,Industrial Machinery/Components,47.66,1.04,0.708,N/A,5.13,3.12,518.20M,177.77M,6.09B,25.75 - 35.55,"
</"
STA-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 28.00,"
</"
STAG,,,N/A,1.54,N/A,5.43,1.91,8.75,27.60M,34.87M,708.60M,11.86 - 20.17,"
</"
STC,Finance,Specialty Insurers,11.82,2.03,2.247,0.38,1.01,0.28,95.40M,19.35M,529.50M,12.40 - 29.98,"
</"
STE,Health Care,Industrial Specialties,14.89,1.69,2.534,1.91,2.5,1.53,301.40M,58.47M,2.22B,28.77 - 38.01,"
</"
STI,Finance,Major Banks,7.9,0.67,3.59,0.7,0.75,1.68,N/A,538.97M,15.68B,20.96 - 30.79,"
</"
STI-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.55 - 25.50,"
</"
STI-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
STI.A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.00 - 8.12,"
</"
STI.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.21 - 4.33,"
</"
STJ,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,17.04,1.15,2.389,2.26,3.08,2.29,1.77B,310.01M,12.76B,30.25 - 44.80,"
</"
STK,,,N/A,N/A,N/A,11.94,N/A,N/A,N/A,N/A,N/A,12.86 - 19.00,"
</"
STL,Finance,Major Banks,14.78,2.02,0.649,3.75,1.3,2.39,N/A,30.96M,303.70M,8.30 - 10.58,"
</"
STL-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.04 - 10.74,"
</"
STM,Technology,Semiconductors,N/A,7.85,N/A,4.63,1.16,0.9,433.00M,887.89M,8.06B,4.51 - 8.88,"
</"
STN,Consumer Services,Military/Government/Technical,76.03,1.55,0.536,1.47,2.64,1.21,218.40M,45.89M,1.88B,25.77 - 42.55,"
</"
STNG,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,1.22,3.33,2.90M,42.19M,343.40M,5.14 - 8.50,"
</"
STO,Energy,Integrated oil Companies,5.94,0.88,4.47,4.23,1.56,0.67,44.41B,3.18B,85.89B,22.00 - 28.95,"
</"
STON,,,N/A,N/A,N/A,9.5,3.23,2,34.20M,19.54M,488.10M,20.10 - 28.68,"
</"
STP,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.38,0.11,N/A,180.94M,309.40M,0.71 - 4.40,"
</"
STR,Public Utilities,Oil & Gas Production,19.85,4.7,1.17,2.87,3.92,3.66,553.90M,175.09M,4.10B,17.20 - 23.67,"
</"
STRI,Capital Goods,Specialty Chemicals,N/A,N/A,N/A,N/A,0.35,0.76,N/A,41.53M,89.70M,1.93 - 10.97,"
</"
STT,Finance,Major Banks,13.25,2.52,4.2,1.73,1.25,2.64,N/A,458.66M,25.85B,38.95 - 56.61,"
</"
STT-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
STV,Technology,Computer Software: Prepackaged Software,7.08,1.15,0.24,135.29,0.48,1.06,34.70M,58.98M,110.30M,1.67 - 4.38,"
</"
STWD,Consumer Services,Real Estate Investment Trusts,14.54,N/A,1.764,7.25,1.31,11.36,N/A,116.87M,3.02B,19.40 - 25.90,"
</"
STZ,Consumer Non-Durables,Beverages (Production/Distribution),14.52,1.41,2.228,N/A,2.14,2.18,666.60M,183.66M,6.00B,18.50 - 39.65,"
</"
STZ.B,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.64 - 39.50,"
</"
SU,Energy,Integrated oil Companies,10.9,1.25,3.122,1.47,1.28,1.29,12.69B,1.53B,52.87B,25.95 - 37.37,"
</"
SUI,Consumer Services,Real Estate Investment Trusts,266.77,2.34,0.161,5.87,9.81,3.93,157.50M,29.74M,1.29B,36.15 - 47.84,"
</"
SUI-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SUP,Capital Goods,Auto Parts:O.E.M.,8.1,8.07,2.502,5.53,1.14,0.67,65.50M,27.25M,568.10M,15.50 - 21.02,"
</"
SUSP,,,239.67,2.35,0.121,0.1,9.24,0.15,25.60M,21.88M,612.10M,0.00 - 0.00,"
</"
SUSS,,,20.81,1.44,2.012,N/A,2.31,0.15,164.10M,20.76M,889.70M,0.00 - 0.00,"
</"
SVM,Basic Industries,Precious Metals,16.28,3.21,0.266,2.31,1.67,3.77,108.30M,170.75M,747.90M,4.01 - 8.29,"
</"
SVN,Consumer Services,Hotels/Resorts,22.24,0.91,0.553,N/A,2.39,1.6,84.70M,49.97M,618.10M,8.10 - 16.44,"
</"
SVU,Consumer Services,Food Chains,N/A,N/A,N/A,4.5,118.48,0.02,1.64B,213.46M,838.90M,1.68 - 7.20,"
</"
SWC,Basic Industries,Precious Metals,26.81,N/A,0.502,N/A,1.69,1.84,108.90M,116.84M,1.58B,7.47 - 15.24,"
</"
SWFT,Transportation,Trucking Freight/Courier Services,16.66,0.77,0.82,N/A,8.29,0.55,528.10M,139.55M,1.91B,7.47 - 14.00,"
</"
SWI,Technology,Computer Software: Prepackaged Software,54.42,1.96,1,N/A,11.53,16.15,124.10M,74.50M,4.11B,33.04 - 60.95,"
</"
SWJ,,,4.88,N/A,5.305,2.19,0.63,0.41,1.55B,161.22M,4.20B,0.00 - 0.00,"
</"
SWK,Capital Goods,Industrial Machinery/Components,14.48,1.73,5.305,2.34,1.86,1.22,1.55B,161.21M,12.47B,58.59 - 81.90,"
</"
SWM,Basic Industries,Paper,11.8,0.75,3.453,1.1,2.6,1.54,222.20M,31.03M,1.27B,31.18 - 42.50,"
</"
SWN,Energy,Oil & Gas Production,N/A,2.49,N/A,N/A,3.68,4.46,1.62B,349.43M,11.91B,25.63 - 36.87,"
</"
SWS,Finance,Investment Bankers/Brokers/Service,N/A,3.67,N/A,N/A,0.61,0.75,N/A,32.87M,221.90M,4.02 - 7.77,"
</"
SWU,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,3.85,N/A,N/A,N/A,N/A,N/A,113.08 - 128.19,"
</"
SWX,Public Utilities,Oil & Gas Production,16.39,4.13,2.717,2.58,1.62,1.05,476.50M,46.13M,2.09B,39.01 - 46.08,"
</"
SWY,Consumer Services,Food Chains,9.13,0.84,2.108,3.48,1.66,0.1,2.23B,239.60M,4.62B,14.73 - 23.16,"
</"
SWZ,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.57,1.04,33.59,N/A,30.97M,379.70M,9.60 - 12.16,"
</"
SXC,Consumer Services,Technical Services,14.66,1.24,1.131,N/A,2.29,0.63,209.30M,69.94M,1.19B,13.10 - 17.59,"
</"
SXCP,,,N/A,N/A,N/A,N/A,N/A,N/A,105.60M,N/A,N/A,0.00 - 0.00,"
</"
SXE,Technology,Information Technology Services,N/A,N/A,N/A,N/A,N/A,1.19,30.30M,24.43M,577.20M,21.87 - 37.55,"
</"
SXI,Technology,Industrial Machinery/Components,23.59,1,2.401,0.39,2.79,1.09,78.80M,12.73M,718.90M,35.58 - 57.60,"
</"
SXL,Energy,Natural Gas Distribution,16.21,1.82,3.742,2.17,5.09,0.47,699.00M,103.56M,6.33B,31.65 - 60.83,"
</"
SXT,Basic Industries,Major Chemicals,15.18,3.1,2.51,2.28,1.71,1.31,242.10M,49.78M,1.93B,33.13 - 41.08,"
</"
SYA,Finance,Life Insurance,7.66,1.62,1.82,2.01,0.53,0.9,390.80M,138.11M,1.91B,9.69 - 13.99,"
</"
SYK,Health Care,Medical/Dental Instruments,18.48,1.7,3.39,1.44,2.77,2.75,2.30B,380.30M,23.97B,49.43 - 63.99,"
</"
SYSW,Finance,Real Estate,N/A,N/A,N/A,N/A,0.74,1.19,N/A,48.30M,96.60M,0.78 - 2.19,"
</"
SYT,Basic Industries,Agricultural Chemicals,23.68,N/A,3.636,2.03,4.81,2.85,3.06B,457.66M,39.99B,61.47 - 87.24,"
</"
SYX,Consumer Services,Catalog/Specialty Distribution,10.88,N/A,0.9,2.55,0.74,0.1,52.60M,36.55M,379.00M,9.01 - 20.92,"
</"
SYY,Consumer Non-Durables,Food Distributors,16.9,2.13,1.88,3.43,3.81,0.44,2.50B,587.82M,18.86B,27.05 - 32.40,"
</"
SZC,,,N/A,N/A,N/A,1.01,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
T,Public Utilities,Telecommunications Equipment,27.83,2.43,1.25,5.09,2.1,1.52,31.14B,5.58B,198.20B,29.69 - 38.58,"
</"
TAC,Public Utilities,Electric Utilities: Central,N/A,13.59,N/A,7.2,1.78,1.75,958.00M,254.70M,4.14B,13.92 - 21.20,"
</"
TAHO,,,N/A,N/A,N/A,N/A,2.74,N/A,N/A,145.56M,2.43B,0.00 - 0.00,"
</"
TAI,Finance,Closed-End Fund - Debt,8.13,N/A,2.821,5.45,1.01,15.51,N/A,6.32M,145.30M,21.34 - 26.35,"
</"
TAL,Technology,Diversified Commercial Services,10.9,0.99,3.843,5.61,2.31,2.44,502.50M,33.23M,1.40B,30.58 - 42.41,"
</"
TAOM,,,23.97,6.84,0.174,N/A,1.38,3.71,5.10M,36.74M,172.70M,3.15 - 6.32,"
</"
TAP,Consumer Non-Durables,Beverages (Production/Distribution),14.74,2.17,3.065,2.83,1,2.14,755.80M,181.22M,8.22B,37.96 - 46.35,"
</"
TAP.A,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.50 - 46.30,"
</"
TARO,,,9.34,N/A,4.995,N/A,2.75,3.2,356.20M,44.69M,2.18B,0.00 - 0.00,"
</"
TBI,Technology,Professional Services,20.2,2.18,0.851,N/A,2.05,0.48,71.80M,38.73M,673.90M,11.84 - 18.22,"
</"
TC,Basic Industries,Precious Metals,N/A,N/A,N/A,N/A,0.36,1.64,N/A,168.72M,686.70M,2.25 - 9.50,"
</"
TC-T,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TCAP,,,12.26,0.85,2.222,7.42,1.78,8.89,68.80M,27.32M,752.90M,18.81 - 27.35,"
</"
TCB,Finance,Major Banks,N/A,2.32,N/A,1.1,1.38,2.22,N/A,159.80M,2.21B,9.59 - 13.70,"
</"
TCB-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TCB-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TCB.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.26 - 2.69,"
</"
TCC,Finance,Property Management,11.69,N/A,2.222,5.3,1.69,8.48,68.80M,27.32M,712.20M,0.00 - 0.00,"
</"
TCCA,,,N/A,N/A,N/A,0.99,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TCI,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,0.28,0.3,38.20M,8.42M,36.20M,1.75 - 6.01,"
</"
