Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
TSRI,Technology,EDP Services,N/A,N/A,N/A,46.15,0.7,0.14,N/A,1.95M,6.30M,2.77 - 5.69,"
</"
TSRO,,,N/A,N/A,N/A,N/A,3.62,N/A,N/A,26.70M,489.40M,0.00 - 0.00,"
</"
TSRX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.26,7.52,N/A,39.40M,205.30M,4.41 - 6.49,"
</"
TST,Consumer Services,Newspapers/Magazines,N/A,N/A,N/A,3.07,0.69,1.05,N/A,32.88M,55.90M,1.20 - 2.30,"
</"
TSTC,Consumer Durables,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.14,0.19,N/A,12.34M,17.40M,1.27 - 4.37,"
</"
TSYS,Technology,Computer Software: Prepackaged Software,N/A,0.35,N/A,N/A,0.87,0.28,30.70M,58.10M,140.60M,1.10 - 3.09,"
</"
TTEC,Technology,Professional Services,16,0.91,1.169,N/A,2.07,0.86,139.50M,53.70M,1.01B,14.04 - 18.74,"
</"
TTEK,Consumer Services,Military/Government/Technical,17.58,1,1.63,N/A,1.8,0.9,207.50M,63.84M,1.84B,23.41 - 29.48,"
</"
TTGT,Miscellaneous,Business Services,42.33,1.99,0.12,N/A,1.02,1.94,17.20M,39.50M,196.70M,3.98 - 7.88,"
</"
TTHI,Consumer Durables,Specialty Chemicals,N/A,N/A,N/A,N/A,1.43,5.33,519.00K,26.85M,59.60M,1.50 - 2.74,"
</"
TTMI,Technology,Electrical Products,N/A,0.49,N/A,N/A,1.03,0.49,185.50M,81.93M,650.50M,7.37 - 13.75,"
</"
TTS,,,18.56,1.61,0.991,N/A,18.63,4.53,47.00M,42.89M,769.90M,0.00 - 0.00,"
</"
TTWO,Technology,Computer Software: Prepackaged Software,N/A,8.18,N/A,N/A,2.31,1.25,N/A,90.77M,1.16B,7.37 - 16.99,"
</"
TUES,Consumer Services,Department/Specialty Retail Stores,N/A,12.1,N/A,N/A,1.52,0.43,N/A,42.31M,361.30M,3.21 - 8.55,"
</"
TWER,Consumer Services,Telecommunications Equipment,N/A,N/A,N/A,N/A,2.52,5.16,N/A,54.66M,158.50M,2.33 - 5.86,"
</"
TWGP,Finance,Property-Casualty Insurers,15.33,N/A,1.259,3.9,0.7,0.39,145.10M,38.41M,765.90M,16.50 - 23.86,"
</"
TWIN,Technology,Industrial Machinery/Components,17.33,2.42,1.323,1.57,1.84,0.77,44.00M,11.24M,261.60M,13.70 - 34.62,"
</"
TWMC,Consumer Services,Consumer Electronics/Video Chains,7.07,N/A,0.481,13.82,0.67,0.22,22.70M,31.58M,109.90M,2.11 - 4.01,"
</"
TWTC,Public Utilities,Telecommunications Equipment,55.26,2.23,0.5,N/A,3.85,2.9,501.20M,151.37M,4.19B,20.05 - 27.87,"
</"
TXCC,Technology,Semiconductors,N/A,N/A,N/A,N/A,8.96,1.8,N/A,35.84M,31.90M,0.56 - 3.12,"
</"
TXN,,,21.91,2.12,1.51,2.3,3.34,2.86,4.01B,1.11B,37.37B,26.06 - 34.24,"
</"
TXRH,Consumer Services,Restaurants,18.15,1.48,0.969,2.05,2.26,1.01,159.00M,70.67M,1.26B,15.59 - 19.35,"
</"
TYPE,Technology,EDP Services,25.83,1.19,0.7,0.44,2.91,4.61,54.70M,36.33M,681.10M,12.15 - 19.20,"
</"
TZOO,Technology,EDP Services,19.23,0.95,1.14,N/A,7.92,2.27,31.00M,15.66M,334.50M,16.56 - 28.90,"
</"
TZYM,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,0.78,1.63,N/A,27.69M,14.40M,0.50 - 5.64,"
</"
UACL,Transportation,Trucking Freight/Courier Services,15.88,5.56,1.13,5.57,1.74,0.75,38.60M,30.02M,547.80M,12.46 - 19.74,"
</"
UBCP,Finance,Major Banks,13.23,N/A,0.48,6.61,N/A,1.93,N/A,4.98M,32.20M,5.80 - 10.25,"
</"
UBFO,Finance,Major Banks,44.7,N/A,0.083,N/A,0.77,1.88,N/A,14.08M,51.80M,1.73 - 3.87,"
</"
UBNK,Finance,Savings Institutions,62.9,0.89,0.238,2.54,0.84,4.04,N/A,17.19M,261.30M,13.36 - 16.93,"
</"
UBNT,,,13.92,0.66,0.925,1.4,10.08,3.4,114.40M,88.53M,1.24B,7.80 - 35.99,"
</"
UBOH,Finance,Major Banks,9.72,N/A,1.23,0.42,0.65,1.94,N/A,3.44M,42.29M,6.54 - 12.00,"
</"
UBPS,,,N/A,N/A,N/A,N/A,2.65,N/A,N/A,3.84M,11.90M,2.80 - 8.40,"
</"
UBSH,Finance,Major Banks,12.76,1.02,1.37,2.12,1.01,2.41,N/A,25.27M,446.80M,13.00 - 17.54,"
</"
UBSI,Finance,Major Banks,15.73,2.24,1.62,4.86,1.3,3.94,N/A,50.27M,1.30B,22.54 - 30.91,"
</"
UCBA,Finance,Savings Institutions,37.88,N/A,0.26,5.1,1.37,4.89,N/A,7.68M,76.20M,5.44 - 9.99,"
</"
UCBI,Finance,Major Banks,23.84,2.03,0.44,N/A,1.55,2.73,N/A,57.74M,619.60M,6.12 - 10.67,"
</"
UCFC,Finance,Banks,N/A,N/A,N/A,N/A,0.61,2.32,N/A,32.89M,104.60M,1.27 - 3.93,"
</"
UCTT,Technology,Semiconductors,9.59,1.56,0.585,N/A,0.99,0.39,18.70M,27.66M,162.90M,4.33 - 9.35,"
</"
UEIC,Consumer Non-Durables,Consumer Electronics/Appliances,15.53,0.83,1.23,N/A,1.16,0.62,41.60M,15.04M,288.80M,11.40 - 20.91,"
</"
UEPS,Finance,Investment Bankers/Brokers/Service,8.21,0.47,0.698,N/A,0.73,0.64,91.30M,44.95M,262.50M,3.01 - 11.21,"
</"
UFCS,Finance,Property-Casualty Insurers,9.97,1.8,2.326,2.59,0.78,0.74,98.50M,25.42M,607.70M,15.90 - 26.33,"
</"
UFPI,Basic Industries,Forest Products,33.35,3.43,1.219,0.98,1.33,0.4,74.40M,19.79M,815.20M,29.39 - 43.36,"
</"
UFPT,Capital Goods,Containers/Packaging,12.46,N/A,1.519,N/A,1.84,0.99,19.50M,6.73M,129.90M,14.92 - 20.00,"
</"
UG,Consumer Non-Durables,Package Goods/Cosmetics,22.17,N/A,0.978,6.27,6.26,6.9,6.50M,4.60M,100.90M,15.65 - 23.92,"
</"
UHAL,Consumer Services,Rental/Leasing Companies,12.13,0.98,11.085,3.72,1.9,1.03,621.70M,19.61M,2.63B,75.41 - 134.98,"
</"
UIHC,,,5.16,N/A,1.153,1.34,0.96,0.52,20.90M,10.44M,61.10M,0.00 - 0.00,"
</"
ULBI,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.79,0.53,2.20M,17.44M,56.50M,2.39 - 5.50,"
</"
ULGX,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,4.32,0.85,N/A,20.67M,15.50M,0.55 - 1.71,"
</"
ULTA,Consumer Services,Other Specialty Stores,40.64,1.55,2.407,1.02,8.82,3.05,334.60M,63.77M,6.22B,76.54 - 103.52,"
</"
ULTI,Technology,Computer Software: Prepackaged Software,282.06,4,0.36,N/A,23.08,8.86,36.10M,27.30M,2.77B,64.26 - 106.40,"
</"
ULTR,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,0.3,0.2,42.60M,30.00M,63.90M,0.64 - 3.10,"
</"
UMBF,Finance,Major Banks,14.56,2.6,3.04,1.87,1.4,2.35,N/A,40.34M,1.80B,39.77 - 52.61,"
</"
UMPQ,Finance,Savings Institutions,14.04,1.19,0.9,2.69,0.82,2.75,N/A,111.88M,1.44B,11.17 - 13.88,"
</"
UNAM,Finance,Property-Casualty Insurers,33.42,N/A,0.38,9.45,0.9,2.08,2.60M,5.33M,67.70M,9.21 - 13.65,"
</"
UNB,Finance,Major Banks,14.1,N/A,1.431,4.96,2.14,3.03,N/A,4.46M,89.60M,18.75 - 22.15,"
</"
UNFI,Consumer Non-Durables,Food Distributors,27.28,1.74,1.979,N/A,2.65,0.49,206.80M,49.28M,2.68B,44.05 - 61.26,"
</"
UNIS,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,3.34,42.25,N/A,77.66M,185.60M,2.01 - 5.17,"
</"
UNTD,Technology,"Computer Software: Programming, Data Processing",16.35,0.67,0.406,6.02,1.22,0.69,121.40M,90.99M,599.60M,3.63 - 6.66,"
</"
UNTK,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.82,0.14,50.80M,18.71M,72.80M,2.43 - 4.35,"
</"
UNTY,Finance,Major Banks,22.76,N/A,0.27,N/A,0.82,1.56,N/A,7.50M,45.92M,5.50 - 6.67,"
</"
UNXL,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,7.95,1639.3,N/A,9.66M,129.70M,4.74 - 19.67,"
</"
UPI,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,3.07,2.41,N/A,20.81M,56.20M,2.36 - 4.78,"
</"
UPIP,,,N/A,N/A,N/A,N/A,3.28,5679.42,N/A,89.95M,186.20M,0.00 - 0.00,"
</"
URBN,Consumer Services,Clothing/Shoe/Accessory Stores,31.96,1.55,1.339,N/A,4.92,2.34,414.30M,145.91M,6.32B,25.43 - 43.81,"
</"
URRE,Basic Industries,Precious Metals,N/A,N/A,N/A,N/A,1.06,N/A,N/A,16.10M,55.40M,0.30 - 4.40,"
</"
USAK,Transportation,Trucking Freight/Courier Services,N/A,1.01,N/A,N/A,0.46,0.1,17.60M,10.32M,51.40M,2.65 - 9.24,"
</"
USAP,Basic Industries,Steel/Iron Ore,14.61,5.6,2.445,N/A,1.26,0.93,38.30M,6.90M,247.00M,30.60 - 48.10,"
</"
USAT,Miscellaneous,Office Equipment/Supplies/Services,N/A,N/A,N/A,N/A,3.84,2.35,N/A,32.94M,72.80M,0.93 - 2.32,"
</"
USATP,Miscellaneous,Office Equipment/Supplies/Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.84 - 19.00,"
</"
USATZ,Miscellaneous,Office Equipment/Supplies/Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05 - 1.21,"
</"
USBI,Finance,Major Banks,N/A,N/A,N/A,N/A,0.57,1.52,N/A,6.02M,39.30M,4.63 - 6.75,"
</"
USCR,Capital Goods,Building Materials,N/A,0.55,N/A,N/A,1.52,0.28,16.80M,13.37M,159.80M,3.90 - 12.44,"
</"
USEG,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,0.51,1.9,12.50M,27.48M,65.40M,1.48 - 3.81,"
</"
USLM,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),15.79,N/A,2.916,N/A,2.2,1.82,40.00M,5.55M,258.90M,41.25 - 67.40,"
</"
USMD,,,N/A,N/A,N/A,N/A,0.72,8.16,N/A,10.03M,117.90M,0.00 - 0.00,"
</"
USMO,Public Utilities,Telecommunications Equipment,5.93,N/A,1.951,6.49,0.97,1.12,73.90M,21.94M,258.50M,10.34 - 15.20,"
</"
USTR,Consumer Services,Paper,13.01,1.24,2.563,1.59,1.89,0.27,231.40M,40.23M,1.35B,23.93 - 35.00,"
</"
UTEK,Technology,Industrial Machinery/Components,24.71,1.76,1.649,N/A,3.15,4.89,58.20M,27.01M,1.12B,25.07 - 42.34,"
</"
UTHR,Consumer Durables,Major Pharmaceuticals,10.83,0.43,4.977,N/A,2.6,3.16,391.10M,50.81M,2.73B,40.34 - 59.00,"
</"
UTIW,Transportation,Oil Refining/Marketing,27.9,1.5,0.529,0.41,1.6,0.33,184.10M,103.79M,1.53B,12.31 - 17.92,"
</"
UTMD,Health Care,Medical/Dental Instruments,15.23,N/A,2.64,2.4,3.05,3.56,17.90M,3.68M,149.90M,27.97 - 41.17,"
</"
UTSI,Consumer Durables,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.62,0.62,763.00K,143.73M,137.98M,0.70 - 1.66,"
</"
UVSP,Finance,Major Banks,13.61,3.17,1.24,4.74,1,2.76,N/A,16.77M,284.30M,14.78 - 18.68,"
</"
VALU,Finance,Investment Managers,15.24,N/A,0.635,6.2,2.93,2.67,4.70M,9.90M,95.70M,8.40 - 13.69,"
</"
VALV,Capital Goods,Metal Fabrications,11.73,N/A,0.081,N/A,0.12,0.63,5.30M,17.22M,16.70M,0.62 - 2.04,"
</"
VASC,Health Care,Medical/Dental Instruments,30.38,1.27,0.55,N/A,3.83,2.86,17.90M,16.32M,265.30M,10.09 - 16.99,"
</"
VBFC,Finance,Major Banks,N/A,N/A,N/A,N/A,0.24,0.39,N/A,4.24M,6.10M,0.61 - 2.75,"
</"
VCBI,Finance,Major Banks,19.61,1.91,0.67,N/A,1.77,3.84,N/A,31.92M,426.10M,7.46 - 13.51,"
</"
VCIT,,,N/A,N/A,N/A,3.76,N/A,N/A,N/A,N/A,N/A,83.02 - 88.88,"
</"
VCLK,Technology,Advertising,17.45,1.07,1.173,N/A,2.8,2.31,191.00M,75.25M,1.53B,13.80 - 21.86,"
</"
VCLT,,,N/A,N/A,N/A,4.71,N/A,N/A,N/A,N/A,N/A,83.53 - 98.99,"
</"
VCSH,,,N/A,N/A,N/A,2.27,N/A,N/A,N/A,N/A,N/A,78.65 - 80.78,"
</"
VDSI,Technology,EDP Services,12.8,1.99,0.633,N/A,2.04,1.89,30.30M,38.13M,310.80M,6.51 - 10.96,"
</"
VECO,Technology,Industrial Machinery/Components,19.71,N/A,1.596,N/A,1.48,2.04,99.50M,38.59M,1.27B,26.15 - 38.39,"
</"
VELT,Technology,Computer Software: Prepackaged Software,N/A,0.2,N/A,N/A,0.84,0.93,30.30M,65.00M,258.70M,3.07 - 14.65,"
</"
VGIT,,,N/A,N/A,N/A,2.56,N/A,N/A,N/A,N/A,N/A,64.17 - 66.97,"
</"
VGLT,,,N/A,N/A,N/A,3.07,N/A,N/A,N/A,N/A,N/A,69.11 - 82.00,"
</"
VGSH,,,N/A,N/A,N/A,0.51,N/A,N/A,N/A,N/A,N/A,60.75 - 61.46,"
</"
VIA,,,17.15,N/A,3.683,1.7,4.3,2.28,4.14B,502.18M,31.29B,47.02 - 63.64,"
</"
VIAB,,,16.39,0.88,3.683,0.41,4.11,2.18,4.14B,502.18M,30.40B,44.85 - 60.84,"
</"
VIAS,Technology,Electrical Products,N/A,1.13,N/A,N/A,1.18,0.24,161.40M,19.99M,290.30M,8.44 - 22.84,"
</"
VICL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,3.21,18,N/A,86.14M,310.10M,2.61 - 4.74,"
</"
VICR,Capital Goods,Industrial Machinery/Components,179.33,N/A,0.03,N/A,1.23,0.99,13.30M,41.81M,224.50M,5.00 - 10.42,"
</"
VIDE,Capital Goods,Electrical Products,57.46,N/A,0.067,N/A,0.99,0.56,2.20M,7.56M,29.10M,3.32 - 6.32,"
</"
VIFL,Miscellaneous,Business Services,16.11,N/A,0.324,N/A,1.66,3.72,2.10M,2.82M,14.70M,4.25 - 7.65,"
</"
VIMC,Technology,Semiconductors,N/A,2.4,N/A,N/A,0.69,0.78,N/A,29.53M,50.20M,0.69 - 1.95,"
</"
VIRC,Consumer Durables,Industrial Specialties,N/A,N/A,N/A,N/A,1.06,0.23,3.70M,14.56M,39.60M,1.45 - 3.84,"
</"
VISN,Technology,Advertising,N/A,16.6,N/A,N/A,0.38,0.15,N/A,5.06M,21.50M,0.15 - 4.55,"
</"
VITC,Consumer Services,Catalog/Specialty Distribution,N/A,N/A,N/A,N/A,3.49,0.77,N/A,33.41M,241.20M,4.97 - 8.65,"
</"
VIVO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,24.94,1.51,0.84,3.63,6.06,4.84,58.80M,41.29M,884.00M,16.19 - 21.66,"
</"
VLCCF,Consumer Services,Marine Transportation,N/A,12.15,N/A,17.96,0.58,2.17,40.00M,24.43M,161.50M,4.94 - 15.81,"
</"
VLGEA,Consumer Services,Food Chains,21.21,N/A,1.508,6.25,1.88,0.31,72.50M,13.76M,447.70M,24.29 - 38.30,"
</"
VLTR,Technology,Semiconductors,19.12,3.42,0.86,N/A,2.18,2.46,30.00M,25.11M,421.40M,14.70 - 34.87,"
</"
VLYWW,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.24 - 2.96,"
</"
VMBS,,,N/A,N/A,N/A,1.52,N/A,N/A,N/A,N/A,N/A,51.75 - 53.00,"
</"
VMED,Public Utilities,Telecommunications Equipment,29.18,1.26,1.35,0.41,13.26,1.61,2.63B,268.43M,10.64B,21.25 - 40.25,"
</"
VNDA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,7.39,3.42,N/A,28.22M,112.60M,2.92 - 5.47,"
</"
VNET,Technology,"Computer Software: Programming, Data Processing",211.06,1.05,0.047,N/A,2.09,2.52,38.50M,57.74M,566.40M,8.39 - 13.75,"
</"
VNQI,,,N/A,N/A,N/A,5.49,N/A,N/A,N/A,N/A,N/A,43.02 - 56.16,"
</"
VOCS,Technology,Computer Software: Prepackaged Software,N/A,2.08,N/A,N/A,3.42,2.23,1.70M,19.59M,345.90M,11.95 - 24.60,"
</"
VOD,Public Utilities,Telecommunications Equipment,N/A,1.57,N/A,5.61,1.2,1.87,21.75B,4.92B,134.30B,24.95 - 30.07,"
</"
VOLC,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,39.31,5.46,0.637,N/A,3.65,3.63,46.70M,53.89M,1.37B,23.08 - 30.59,"
</"
VONE,,,N/A,N/A,N/A,1.9,N/A,N/A,N/A,N/A,N/A,58.18 - 69.20,"
</"
VONG,,,N/A,N/A,N/A,1.62,N/A,N/A,N/A,N/A,N/A,61.28 - 70.50,"
</"
VONV,,,N/A,N/A,N/A,2.12,N/A,N/A,N/A,N/A,N/A,55.23 - 68.13,"
</"
VOXX,Consumer Non-Durables,Electronic Components,9.89,1.28,0.977,N/A,0.52,0.28,60.70M,23.53M,232.90M,5.55 - 14.56,"
</"
VPFG,Finance,Savings Institutions,21.21,1.77,0.997,1.89,1.54,5.76,N/A,37.62M,796.70M,13.74 - 21.99,"
</"
VPHM,Consumer Durables,Major Pharmaceuticals,30.12,43.88,0.885,N/A,2.24,3.76,157.10M,65.92M,1.77B,19.02 - 33.17,"
</"
VPRT,Miscellaneous,Publishing,38.47,1.08,0.932,N/A,6.16,1.16,103.60M,34.27M,1.16B,28.17 - 43.42,"
</"
VRA,Consumer Non-Durables,Apparel,16.05,0.8,1.576,N/A,6.07,2,112.70M,40.54M,1.05B,18.91 - 39.48,"
</"
VRML,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,N/A,N/A,N/A,3.56,10.53,N/A,15.08M,19.00M,1.13 - 3.02,"
</"
VRNM,Basic Industries,Major Chemicals,1.54,N/A,1.53,N/A,0.9,0.52,N/A,12.80M,32.50M,2.05 - 5.66,"
</"
VRNT,Technology,EDP Services,45.31,1.08,0.746,N/A,7.09,1.65,147.10M,40.09M,1.39B,24.60 - 35.29,"
</"
VRSK,Technology,EDP Services,30.46,1.96,1.811,N/A,64.59,6.26,657.40M,166.79M,9.29B,39.64 - 55.77,"
</"
VRSN,Technology,EDP Services,22.19,1.47,1.956,N/A,N/A,7.62,511.40M,153.38M,6.80B,32.81 - 50.15,"
</"
VRTA,Consumer Services,Real Estate Investment Trusts,25.78,N/A,0.045,N/A,0.35,7.44,N/A,6.38M,7.40M,0.88 - 1.49,"
</"
VRTB,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,0.39,11.86,N/A,12.53M,19.30M,1.10 - 1.73,"
</"
VRTS,Finance,Investment Managers,8.51,1.26,17.511,N/A,4.93,4.54,56.40M,7.84M,1.20B,69.00 - 149.43,"
</"
VRTU,Technology,EDP Services,22.51,0.85,0.92,N/A,2.24,1.76,36.20M,25.84M,542.80M,11.23 - 21.45,"
</"
VRTX,Consumer Durables,Major Pharmaceuticals,75.77,N/A,0.591,N/A,9.43,5.53,341.90M,216.84M,9.85B,35.26 - 66.10,"
</"
VSAT,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,N/A,N/A,N/A,1.88,1.74,116.60M,44.01M,1.68B,33.09 - 49.80,"
</"
VSBN,Finance,Major Banks,15.28,N/A,0.67,2.34,0.65,1.76,N/A,1.77M,18.10M,9.65 - 10.98,"
</"
VSCI,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,N/A,3.11,N/A,45.04M,51.80M,0.91 - 1.87,"
</"
VSCP,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,1.87,1.7,N/A,29.75M,18.74M,0.50 - 1.68,"
</"
VSEC,Consumer Services,Military/Government/Technical,5.07,0.79,4.74,1.25,0.78,0.22,73.80M,5.29M,122.90M,20.55 - 27.20,"
</"
VSTM,,,N/A,N/A,N/A,N/A,2.21,N/A,N/A,21.25M,213.80M,6.25 - 12.24,"
</"
VTHR,,,N/A,N/A,N/A,1.7,N/A,N/A,N/A,N/A,N/A,55.76 - 69.47,"
</"
VTIP,,,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
VTNC,Transportation,Oil Refining/Marketing,N/A,N/A,N/A,N/A,1.64,0.13,N/A,16.40M,114.80M,3.64 - 8.95,"
</"
VTSS,Technology,Semiconductors,N/A,N/A,N/A,N/A,N/A,0.45,4.50M,25.82M,53.70M,1.75 - 4.13,"
</"
VTUS,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.58,N/A,N/A,12.93M,32.20M,1.99 - 13.53,"
</"
VTWG,,,N/A,N/A,N/A,0.76,N/A,N/A,N/A,N/A,N/A,60.04 - 74.61,"
</"
VTWO,,,N/A,N/A,N/A,1.47,N/A,N/A,N/A,N/A,N/A,58.03 - 71.74,"
</"
VTWV,,,N/A,N/A,N/A,1.8,N/A,N/A,N/A,N/A,N/A,55.87 - 69.13,"
</"
VVTV,Consumer Services,Catalog/Specialty Distribution,N/A,N/A,N/A,N/A,1.51,0.24,N/A,49.10M,136.50M,1.48 - 2.83,"
</"
VVUS,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,4.45,29710.26,N/A,100.56M,1.25B,9.86 - 31.21,"
</"
VXUS,,,N/A,N/A,N/A,2.89,N/A,N/A,N/A,N/A,N/A,38.81 - 48.42,"
</"
VYFC,Finance,Savings Institutions,6.98,N/A,1.259,0.4,0.83,1.42,N/A,4.74M,42.40M,6.51 - 11.67,"
</"
WABC,Finance,Major Banks,15.16,5.63,2.93,3.33,2.16,5.41,N/A,27.21M,1.21B,40.50 - 49.53,"
</"
WACLY,Consumer Non-Durables,Apparel,15.46,N/A,3.355,N/A,0.68,0.66,203.90M,28.17M,1.42B,51.09 - 64.71,"
</"
WAFD,,,13.43,2.39,1.31,1.82,0.97,4,N/A,105.47M,1.87B,14.30 - 18.42,"
</"
WAFDW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
WASH,Finance,Major Banks,12.8,2.36,2.06,3.57,1.45,2.9,N/A,16.37M,438.70M,22.53 - 27.75,"
</"
WAVX,Technology,Computer peripheral equipment,N/A,N/A,N/A,N/A,16.67,3.04,N/A,104.66M,102.57M,0.53 - 2.27,"
</"
WAYN,Finance,Savings Institutions,16.44,N/A,0.596,2.76,0.71,2.09,N/A,2.94M,29.40M,7.87 - 10.00,"
</"
WBCO,Finance,Major Banks,13.17,1.27,1.07,2.7,1.2,2.69,N/A,15.45M,217.70M,11.75 - 15.03,"
</"
WBKC,Finance,Banks,31.07,N/A,0.618,5.21,0.68,4.21,N/A,2.33M,44.10M,14.52 - 19.50,"
</"
WBMD,Miscellaneous,Business Services,185.73,N/A,0.089,N/A,1.59,1.66,39.60M,49.02M,824.50M,13.13 - 28.62,"
</"
WBSN,Miscellaneous,Business Services,22.23,1.15,0.658,N/A,6.15,1.47,71.10M,36.50M,541.60M,12.70 - 22.15,"
</"
WCBO,Finance,Major Banks,21.96,2.03,1.08,0.42,1.34,3.78,N/A,19.11M,456.60M,15.90 - 23.97,"
</"
WCRX,Consumer Durables,Major Pharmaceuticals,9.7,12.39,1.461,29.99,N/A,1.38,1.44B,250.46M,3.52B,10.85 - 23.28,"
</"
WDC,,,5.67,3.9,8.296,1.06,1.38,0.73,3.73B,241.99M,11.32B,28.31 - 49.50,"
</"
WDFC,Basic Industries,Major Chemicals,21.62,2.27,2.471,2.21,4.49,2.36,62.10M,15.60M,838.20M,41.47 - 54.42,"
</"
WEBK,,,36.48,N/A,0.421,N/A,0.77,3.04,N/A,2.22M,34.00M,11.98 - 15.90,"
</"
WEBM,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,1.09,0.88,N/A,6.02M,11.80M,0.51 - 3.45,"
</"
WEN,,,642.5,2.59,0.008,1.95,1.02,0.8,332.30M,391.03M,2.01B,4.09 - 5.33,"
</"
WERN,Transportation,Trucking Freight/Courier Services,16.87,1.27,1.4,7.2,2.42,0.85,336.90M,73.27M,1.73B,20.63 - 26.04,"
</"
WETF,,,216.25,0.62,0.04,N/A,23.96,13.81,10.40M,123.57M,1.12B,5.71 - 8.95,"
</"
WEYS,Consumer Non-Durables,Apparel,14.74,N/A,1.545,3.69,1.45,0.85,28.50M,10.84M,251.60M,22.01 - 27.25,"
</"
WFBI,,,18.39,N/A,0.598,N/A,0.86,1.62,N/A,2.93M,33.70M,0.00 - 0.00,"
</"
WFD,Finance,Savings Institutions,30.65,2.9,0.246,5.84,0.87,5.29,N/A,24.40M,188.10M,6.45 - 8.71,"
</"
WFM,,,38.19,1.78,2.52,2.72,4.69,1.53,1.07B,185.52M,17.85B,75.60 - 101.86,"
</"
WHF,,,N/A,N/A,N/A,0.72,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
WHLR,,,N/A,N/A,N/A,1.39,N/A,9.77,634.00K,3.31M,20.00M,0.00 - 0.00,"
</"
WIBC,Finance,Major Banks,4.69,1.24,1.31,N/A,1.28,2.7,N/A,71.29M,441.30M,3.76 - 6.77,"
</"
WIFI,,,36.17,2.62,0.214,N/A,1.91,2.71,30.20M,35.16M,277.80M,6.50 - 13.25,"
</"
WILC,Consumer Non-Durables,Food Distributors,14.88,N/A,0.361,N/A,0.82,0.99,3.80M,12.97M,68.21M,3.90 - 5.59,"
</"
WILN,,,N/A,0.62,N/A,2.84,1.87,6.11,65.10M,121.34M,561.80M,4.37 - 6.03,"
</"
WIN,Public Utilities,Telecommunications Equipment,40.75,9.76,0.239,10.27,4.6,0.98,2.15B,588.16M,5.76B,7.86 - 12.55,"
</"
WINA,Consumer Services,Other Specialty Stores,22.08,N/A,2.93,7.96,18.91,6.2,27.70M,4.99M,321.10M,47.43 - 71.49,"
</"
WIRE,Capital Goods,Metal Fabrications,23.79,2.9,1.371,0.25,1.66,0.63,60.90M,20.66M,680.10M,23.58 - 33.64,"
</"
WLB,Energy,Coal Mining,N/A,N/A,N/A,N/A,N/A,0.25,81.40M,14.16M,148.30M,6.94 - 12.93,"
</"
WLBPZ,Energy,Coal Mining,N/A,N/A,N/A,8.02,N/A,N/A,N/A,N/A,N/A,23.52 - 31.43,"
</"
WLDN,Consumer Services,Military/Government/Technical,N/A,N/A,N/A,N/A,0.93,0.16,N/A,7.31M,15.80M,1.14 - 3.90,"
</"
WLFC,Consumer Durables,Industrial Specialties,N/A,0.89,N/A,N/A,0.65,0.9,103.60M,8.86M,131.20M,11.31 - 14.84,"
</"
